UnixTimestamp,Date(America/New_York),Time(America/New_York),ExternalTemp,SpConductivity_us,Pressure_abs,Turbidity,ODO,ODO_Sat,PH,PH_mV,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PC_ugL,BGA_PC_RFU,BatteryVoltage,InternalHumidity,Latitude,Longitude,Column 1,Column 2
1720811700000,2024-12-07,03:15:00 54900000,15.76839,46690.9,15.84274,NAN,9.188712,111.4681,8.236366,-70.72224,0.9866254,0.2466563,NAN,NAN,13.42305,0,44.10991,-69.10593,,
1720812600000,2024-12-07,03:30:00 55800000,16.0442,46573.11,15.84819,NAN,9.153976,111.6127,8.239049,-70.94555,1.073979,0.2684949,NAN,NAN,13.41573,0,44.10991,-69.10593,,
1720813500000,2024-12-07,03:45:00 56700000,16.32483,46605.66,15.84517,NAN,9.190487,112.6823,8.241557,-71.15619,1.129838,0.2824595,NAN,NAN,13.41866,0,44.10991,-69.10593,,
1720814400000,2024-12-07,04:00:00 57600000,16.11042,19166.18,15.84612,NAN,9.249925,112.9463,8.257793,-72.0332,1.156134,0.2890334,NAN,NAN,13.42208,22,44.10991,-69.10593,,
1720815300000,2024-12-07,04:15:00 58500000,16.17459,46608.21,15.843,NAN,9.270148,113.3462,8.244356,-71.28117,1.172316,0.293079,NAN,NAN,13.4272,22,44.10991,-69.10596,,
1720816200000,2024-12-07,04:30:00 59400000,16.22146,46759.6,15.84124,NAN,9.352354,114.4854,8.251313,-71.68645,1.172268,0.293067,NAN,NAN,13.42476,22,44.10991,-69.10596,,
1720817100000,2024-12-07,04:45:00 60300000,15.45251,46733.32,15.84137,NAN,9.356711,112.8251,8.246177,-71.20704,1.448653,0.3621633,NAN,NAN,13.42647,22,44.10991,-69.10596,,
1720818000000,2024-12-07,05:00:00 61200000,15.63227,46733.71,12.67009,NAN,9.408706,113.8479,8.27433,-72.85942,1.491922,0.3729805,NAN,NAN,13.41402,22,44.10991,-69.10596,,
1720818900000,2024-12-07,05:15:00 62100000,15.18483,46788.3,15.83955,NAN,9.754678,117.02,8.272989,-72.67091,1.471312,0.3678279,NAN,NAN,13.42769,22,44.10993,-69.1059,,
1720819800000,2024-12-07,05:30:00 63000000,15.60106,46785.6,15.84152,NAN,9.578725,115.8608,8.257013,-71.86087,1.586343,0.3965857,NAN,NAN,13.42086,22,44.10993,-69.1059,,
1720820700000,2024-12-07,05:45:00 63900000,15.20883,46826.71,15.84073,NAN,9.615699,115.4286,8.263947,-72.16034,1.568223,0.3920556,NAN,NAN,13.42403,22,44.10993,-69.1059,,
1720821600000,2024-12-07,06:00:00 64800000,14.9962,46826,12.67275,NAN,9.65167,115.3582,8.289631,-73.5724,2.016708,0.504177,NAN,NAN,13.41255,22,44.10993,-69.1059,,
1720822500000,2024-12-07,06:15:00 65700000,15.01014,46849.15,15.84077,NAN,9.611212,114.926,8.265909,-72.22288,2.174039,0.5435098,NAN,NAN,13.42037,22,44.10997,-69.10588,,
1720823400000,2024-12-07,06:30:00 66600000,14.93097,46884.5,15.84313,NAN,9.657475,115.3105,8.272015,-72.55109,2.472752,0.618188,NAN,NAN,13.42622,22,44.10997,-69.10588,,
1720824300000,2024-12-07,06:45:00 67500000,14.9182,46892.33,15.84092,NAN,9.771447,116.6351,8.281778,-73.10458,2.443089,0.6107722,NAN,NAN,13.425,22,44.10997,-69.10588,,
1720825200000,2024-12-07,07:00:00 68400000,14.82046,46909.2,12.67199,NAN,9.699187,115.5624,8.294003,-73.7764,2.666703,0.6666757,NAN,NAN,13.42159,21,44.10997,-69.10588,,
1720826100000,2024-12-07,07:15:00 69300000,14.84916,46892.47,15.8448,NAN,9.650951,115.0489,8.271007,-72.47298,2.644526,0.6611316,NAN,NAN,13.39279,21,44.10981,-69.106,,
1720827000000,2024-12-07,07:30:00 70200000,14.93853,46904.51,15.84501,NAN,9.761188,116.5637,8.286894,-73.40103,3.053147,0.7632868,NAN,NAN,13.38011,21,44.10981,-69.106,,
1720827900000,2024-12-07,07:45:00 71100000,14.60536,46887.81,15.84799,NAN,9.809916,116.3573,8.283272,-73.11063,2.629615,0.6574038,NAN,NAN,13.34888,21,44.10981,-69.106,,
1720828800000,2024-12-07,08:00:00 72000000,14.49199,46887.16,12.67686,NAN,9.786213,115.8133,8.305502,-74.34779,2.779566,0.6948915,NAN,NAN,13.32791,21,44.10981,-69.106,,
1720829700000,2024-12-07,08:15:00 72900000,14.51318,46887.25,15.84956,NAN,9.739694,115.3156,8.279184,-72.85496,2.692584,0.673146,NAN,NAN,13.33425,21,44.10992,-69.1059,,
1720830600000,2024-12-07,08:30:00 73800000,14.25689,46893.34,15.85161,NAN,9.713575,114.3931,8.271774,-72.36728,3.558895,0.8897238,NAN,NAN,13.32351,21,44.10992,-69.1059,,
1720831500000,2024-12-07,08:45:00 74700000,14.25895,46922.97,15.85105,NAN,9.698139,114.2278,8.273246,-72.45102,3.362176,0.840544,NAN,NAN,13.30083,21,44.10992,-69.1059,,
1720832400000,2024-12-07,09:00:00 75600000,13.88263,46807.01,12.68129,NAN,9.599875,112.1526,8.285885,-73.07513,4.455365,1.113841,NAN,NAN,13.29424,21,44.10992,-69.1059,,
1720833300000,2024-12-07,09:15:00 76500000,13.93855,46817.63,15.85323,NAN,9.593234,112.2068,8.261722,-71.7159,4.721862,1.180465,NAN,NAN,13.29058,21,44.10994,-69.10593,,
1720834200000,2024-12-07,09:30:00 77400000,13.80621,46842.66,15.85412,NAN,9.575771,111.7077,8.259987,-71.58428,6.092748,1.523187,NAN,NAN,13.29156,21,44.10994,-69.10593,,
1720835100000,2024-12-07,09:45:00 78300000,14.17976,46794.82,15.85394,NAN,9.622545,113.1006,8.270289,-72.26374,3.952523,0.9881307,NAN,NAN,13.29741,21,44.10994,-69.10593,,
1720836000000,2024-12-07,10:00:00 79200000,14.42445,46750.27,12.68364,NAN,9.685372,114.3865,8.295432,-73.75656,7.319344,1.829836,NAN,NAN,13.27521,21,44.10994,-69.10593,,
1720836900000,2024-12-07,10:15:00 80100000,14.53923,46751.77,15.85734,NAN,9.567465,113.2585,8.268199,-72.23497,5.819901,1.454975,NAN,NAN,13.29082,21,44.10994,-69.10588,,
